arm,task,tier,method,seed,status,prompt_bytes_gen,prompt_bytes_best,prompt_growth,code_bytes_gen,code_bytes_best,code_changed
sol,gpqa,medium,gepa,s0,ok,1773,10584,5.97,2211,2211,0
sol,gpqa,medium,mh,s0,ok,1773,1165,0.66,2211,1773,1
sol,gpqa,minimal,adaevolve,s0,ok,0,0,0.0,727,720,1
sol,gpqa,minimal,gepa,s0,ok,573,13013,22.71,1297,1297,0
sol,gpqa,minimal,mh,s0,ok,573,762,1.33,1297,3844,1
sol,tau2,medium,gepa,s0,ok,1368,10235,7.48,1597,1597,0
sol,tau2,medium,mh,s0,ok,1368,4055,2.96,1597,572,1
sol,tau2,minimal,adaevolve,s0,ok,921,0,0.0,1597,5850,1
sol,tau2,minimal,gepa,s0,ok,921,11177,12.14,1597,1597,0
sol,tau2,minimal,mh,s0,ok,921,4840,5.26,1597,1597,0
sol,tau2,strong,gepa,s0,ok,1336,16904,12.65,1597,1597,0
sol,tau2,strong,mh,s0,ok,3391,3574,1.05,1597,375,1
sol,charxiv,medium,gepa,s0,ok,1994,6494,3.26,1937,1937,0
sol,charxiv,medium,gepa,s1,ok,1994,4346,2.18,1937,1937,0
sol,charxiv,medium,mh,s0,ok,1994,1800,0.9,1937,1521,1
sol,charxiv,minimal,adaevolve,s0,ok,1090,0,0.0,1573,6220,1
sol,charxiv,minimal,adaevolve,s1,ok,1090,0,0.0,1573,1497,1
sol,charxiv,minimal,gepa,s0,ok,1090,7281,6.68,1573,1573,0
sol,charxiv,minimal,mh,s0,ok,1090,1978,1.81,1573,619,1
sol,charxiv,strong,gepa,s0,ok,2288,5506,2.41,2739,2739,0
sol,gpqa,strong,gepa,,ok,1220,9522,7.8,3020,3020,0
sol,gpqa,strong,mh,,ok,1220,1446,1.19,3020,3231,1
opus5,charxiv,medium,gepa,s0,ok,1994,5564,2.79,1937,1937,0
opus5,charxiv,medium,gepa,s1,ok,1994,3176,1.59,1937,1937,0
opus5,charxiv,medium,mh,s0,ok,1994,10359,5.2,1937,12747,1
opus5,charxiv,medium,mh,s1,ok,1994,4599,2.31,1937,3456,1
opus5,charxiv,minimal,adaevolve,,ok,1090,0,0.0,1573,1497,1
opus5,charxiv,minimal,gepa,s0,ok,1090,5340,4.9,1573,1573,0
opus5,charxiv,minimal,mh,s0,ok,1090,7270,6.67,1573,7382,1
opus5,charxiv,minimal,mh,s1,ok,1090,2760,2.53,1573,1573,0
opus5,charxiv,strong,gepa,s0,ok,2288,7149,3.12,2739,2739,0
opus5,gpqa,medium,gepa,,ok,1773,9571,5.4,2211,2211,0
opus5,gpqa,medium,mh,,ok,1773,3644,2.06,2211,4274,1
opus5,gpqa,minimal,adaevolve,,ok,0,0,0.0,727,4708,1
opus5,gpqa,minimal,gepa,,ok,573,5340,9.32,1297,1297,0
opus5,gpqa,minimal,mh,,ok,573,8250,14.4,1297,4031,1
opus5,gpqa,strong,gepa,,ok,1220,8458,6.93,3020,3020,0
opus5,gpqa,strong,mh,,ok,1220,4762,3.9,3020,5582,1
opus5,tau2,minimal,gepa,,ok,921,9522,10.34,1597,1597,0
opus5,tau2,minimal,mh,,ok,2979,6922,2.32,1597,6728,1
opus5,tau2,strong,gepa,,ok,1336,11402,8.53,1597,1597,0
opus5,tau2,strong,mh,,ok,1336,7764,5.81,1597,13766,1
