arm,task,tier,method,seed,genesis_dev,best_dev,n_dev_evals,n_train_evals,n_candidates,n_dev_improvements,total_usd,meta_usd,rollouts,wallclock_h,best_found_at_frac
sol,tau2,medium,gepa,seed0,0.636364,0.684849,28,150,74,3,34.505859,6.96197,4030,56.8,0.84
sol,tau2,medium,mh,seed0,0.557576,0.690909,20,41,21,3,25.251818,4.139203,3519,43.1,0.79
sol,tau2,minimal,adaevolve,seed0,0.575758,0.739394,6,91,92,4,45.871284,8.657785,5742,67.6,1.0
sol,tau2,minimal,gepa,seed0,0.593939,0.678788,27,163,78,3,29.695019,5.57757,3460,51.6,0.76
sol,tau2,minimal,mh,seed0,0.527273,0.666667,20,41,21,3,28.392304,4.282041,3959,47.1,0.39
sol,tau2,strong,gepa,seed0,0.636364,0.654545,26,134,66,2,39.756377,7.06318,4175,61.3,0.9
sol,tau2,strong,mh,seed0,0.466667,0.672727,19,37,21,5,29.393181,4.112603,4179,48.4,0.93
sol,gpqa,medium,gepa,seed0,0.875622,0.890547,88,529,197,3,59.236735,7.32007,13278,46.9,0.68
sol,gpqa,medium,mh,seed0,0.840796,0.905473,27,53,34,4,41.927808,6.006468,7208,26.5,0.48
sol,gpqa,minimal,adaevolve,seed0,0.81592,0.865672,3,302,306,1,74.463886,22.04947,20233,48.1,0.61
sol,gpqa,minimal,gepa,seed0,0.840796,0.865672,211,564,223,2,57.735327,17.124745,34499,55.1,0.8
sol,gpqa,minimal,mh,seed0,0.835821,0.890547,25,49,32,4,26.420844,5.388937,6674,19.6,0.6
sol,gpqa,strong,gepa,seed0,0.900498,0.905473,53,437,115,1,9.367732,0.565995,1068,5.8,0.08
sol,gpqa,strong,mh,seed0,0.885572,0.920398,23,45,37,2,50.247963,5.101346,6140,29.9,0.29
sol,charxiv,medium,gepa,seed0,0.722222,0.762626,169,517,233,3,57.359473,11.812345,37521,72.0,0.64
sol,charxiv,medium,gepa,seed1,0.712121,0.737374,2,4,6,1,0.576966,0.037425,412,1.0,
sol,charxiv,medium,mh,seed0,0.717172,0.762626,17,33,23,3,8.622537,4.257864,4538,13.1,0.51
sol,charxiv,medium,mh,seed1,0.722222,0.722222,1,3,2,0,0.33475,,266,0.7,
sol,charxiv,minimal,adaevolve,seed0,0.757576,0.777778,5,253,260,1,58.45354,30.290935,18194,48.0,1.0
sol,charxiv,minimal,adaevolve,seed1,0.757576,0.757576,2,5,10,0,0.586689,0.11115,600,1.1,
sol,charxiv,minimal,gepa,seed0,0.717172,0.747475,234,652,253,3,48.153852,14.3872,51365,72.0,0.72
sol,charxiv,minimal,gepa,seed1,0.732323,0.732323,3,6,4,0,0.144953,,198,0.4,0.34
sol,charxiv,minimal,mh,seed0,0.737374,0.762626,23,45,28,2,10.018363,5.354901,6140,14.9,0.65
sol,charxiv,minimal,mh,seed1,0.707071,0.742424,2,5,3,1,0.73259,0.338139,533,1.1,
sol,charxiv,strong,gepa,seed0,0.762626,0.777778,198,602,259,2,70.194052,12.23098,43896,72.0,0.48
sol,charxiv,strong,gepa,seed1,0.777778,0.777778,3,13,7,0,0.308301,,198,0.5,0.3
sol,charxiv,strong,mh,seed0,0.742424,0.752525,9,17,10,1,4.342922,2.069146,2402,8.6,0.47
opus5,tau2,medium,gepa,seed0,0.678788,0.678788,31,129,64,0,1.063646,,165,3.0,0.04
opus5,tau2,medium,mh,seed0,0.69697,0.69697,23,47,30,0,54.012598,21.954882,4839,63.1,0.05
opus5,tau2,minimal,adaevolve,seed0,0.660606,0.660606,4,87,95,0,14.654512,1.980405,1848,31.5,0.13
opus5,tau2,minimal,gepa,seed0,0.587879,0.660606,30,171,95,3,26.773476,5.17333,3245,48.9,0.69
opus5,tau2,minimal,mh,seed0,0.581818,0.684849,24,72,55,4,78.601273,47.509675,5304,64.2,0.92
