worker,arm,task,tier,method,seed,role,digest,test_mean,test_sd,dev_score,worker_route,source
haiku,sol,gpqa,medium,gepa,s0,genesis,876331574edc,0.6161616161616161,0.008747731351357958,0.8756218905472637,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,medium,gepa,s0,best,f32d8602665b,0.6414141414141414,0.05736271056363908,0.890547263681592,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,medium,mh,s0,genesis,876331574edc,0.6161616161616161,0.008747731351357958,0.8756218905472637,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,medium,mh,s0,best,164790c0d811,0.6515151515151515,0.04545454545454547,0.875621895522388,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,minimal,adaevolve,s0,genesis,1ff96a817138,0.6212121212121212,0.030303030303030276,0.8159204029850746,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,minimal,adaevolve,s0,best,7ec243ac4e2c,0.6313131313131313,0.04373865675678979,0.8656716417910447,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,minimal,gepa,s0,genesis,9043f65d0506,0.6111111111111112,0.03499092540543183,0.8407960199004976,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,minimal,gepa,s0,best,4c4623e77f1f,0.6060606060606061,0.09090909090909094,0.8656716417910447,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,minimal,mh,s0,genesis,9043f65d0506,0.6111111111111112,0.03499092540543183,0.8407960199004976,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,minimal,mh,s0,best,e2209b27f216,0.6212121212121212,0.06604392338697991,0.8756219104477612,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,strong,gepa,s0,genesis,25bcafca5f46,0.6616161616161615,0.017495462702715917,0.8855721492537314,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,strong,gepa,s0,best,c3aa606fd60b,0.6212121212121212,0.030303030303030276,0.9054726368159204,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,strong,mh,s0,genesis,25bcafca5f46,0.6616161616161615,0.017495462702715917,0.8855721492537314,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,gpqa,strong,mh,s0,best,08bf92fdb77f,0.6262626262626263,0.0630807878626101,0.8656716417910447,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,medium,gepa,s0,genesis,876331574edc,0.6161616161616161,0.008747731351357958,0.8756218905472637,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,medium,gepa,s0,best,d6a6d030993b,0.6515151515151515,0.04008714107673625,0.890547263681592,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,medium,mh,s0,genesis,876331574edc,0.6161616161616161,0.008747731351357958,0.8756218905472637,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,medium,mh,s0,best,d75394390849,0.6616161616161615,0.02314432169169614,0.8955223880597015,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,minimal,adaevolve,s0,genesis,9043f65d0506,0.6111111111111112,0.03499092540543183,0.8407960199004976,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,minimal,adaevolve,s0,best,bb05415e031c,0.6313131313131313,0.038130476945811835,0.8855721641791044,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,minimal,gepa,s0,genesis,9043f65d0506,0.6111111111111112,0.03499092540543183,0.8407960199004976,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,minimal,gepa,s0,best,7fb19b679534,0.5959595959595959,0.043738656756789854,0.8805970149253731,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,minimal,mh,s0,genesis,9043f65d0506,0.6111111111111112,0.03499092540543183,0.8407960199004976,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,minimal,mh,s0,best,8acc882f8e0e,0.5959595959595959,0.04870530687370179,0.8905472537313432,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,strong,gepa,s0,genesis,25bcafca5f46,0.6616161616161615,0.017495462702715917,0.8855721492537314,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,strong,gepa,s0,best,e30ed181fc1a,0.6464646464646464,0.03499092540543183,0.9154228855721394,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,strong,mh,s0,genesis,25bcafca5f46,0.6616161616161615,0.017495462702715917,0.8855721492537314,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,gpqa,strong,mh,s0,best,de61b7332c0c,0.6515151515151515,0.015151515151515138,0.9154228955223881,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,medium,,,genesis,45c6e240aa97,0.5757575757575758,0.015151515151515194,0.7171717171717172,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,minimal,,,genesis,c2aca5d7b74f,0.5858585858585859,0.05321037248915526,0.7323232323232324,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,charxiv,strong,,,genesis,898d47e8ab25,0.5404040404040404,0.05736271056363914,0.7525252525252525,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,medium,gepa,s0,best,389b2c5bae49,0.6060606060606061,0.015151515151515138,0.7777777777777778,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,medium,gepa,s1,best,b3bcc19d028a,0.5555555555555556,0.043738656756789854,0.7525252525252525,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,medium,mh,s0,best,8d8088129c67,0.595959595959596,0.008747731351357958,0.7727272878787879,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,medium,mh,s1,best,6c3e08c170c7,0.6464646464646464,0.008747731351357958,0.7424242575757576,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,minimal,adaevolve,,best,5841f6d53ddf,0.5656565656565656,0.034990925405431896,0.7525252424242425,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,minimal,gepa,s0,best,abca980dc5a7,0.5606060606060606,0.015151515151515194,0.7878787878787878,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,minimal,mh,s0,best,6f4b05a25d9e,0.5707070707070707,0.008747731351358022,0.7929292878787879,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,minimal,mh,s1,best,68cc852517c9,0.5808080808080808,0.038130476945811884,0.7575757575757576,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,charxiv,strong,gepa,s0,best,cd24fe7fbba3,0.5151515151515151,0.030303030303030276,0.7979797979797979,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,tau2,minimal,gepa,,best,f25c150811f4,0.49696969696969695,0.052486388108147784,0.6606060606060606,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,tau2,minimal,mh,,best,513558b52451,0.5030303030303029,0.01049727762162953,0.6484848363636363,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,tau2,strong,gepa,,best,d04373754f6e,0.5454545454545454,0.018181818181818188,0.6787878787878788,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,opus5,tau2,strong,mh,,best,c8eb0f713e5e,0.5575757575757575,0.04198911048651825,0.709091,chat,solposthocscores-haiku/posthoc_summary.csv
haiku,sol,tau2,medium,,,genesis,9de5d9669f60,0.4666666666666666,0.08968877931484083,0.6969697272727272,chat,solposthocscores-haiku/posthoc_summary.csv
